<HEADLINE>	
Jenkit	
Nokian	org com
karttakaupasta	
:	
Antaa	
mennä	
!	
	
<DATE>	
09/02/15 07:53 PM	
	
<INGRESS>	
Go	
for	
it	
,	
on	
Yhdysvaltain	loc pol
viesti	
Nokian	org com
Hereä	pro
havitteleville	
saksalaisille	
autovalmistajille	
.	
	
<BODY>	
<PARAGRAPH>	
Yhdysvaltain	loc pol
kilpailuviranomainen	
FTC	org
hyväksyy	
BMW:n	org com
,	
Audin	org com
ja	
Mercedeksen	org com
aikeet	
ostaa	
Nokian	org com
Here-karttaliiketoiminta	pro
.	
	
FTC	org
linjasi	
kaupan	
puolesta	
keskiviikkona	
,	
uutistoimisto	
Reuters	org com
kertoo	
.	
	
<PARAGRAPH>	
Autovalmistajat	
ja	
Nokia	org com
vahvistivat	
elokuun	
alussa	
kauan	
velloneet	
huhut	
kaupasta	
.	
	
Valmistajien	
kolmikko	
on	
ostamassa	
Heren	org com
noin	
2.8	
miljardilla	
eurolla	
.	
	
<PARAGRAPH>	
Kolmikko	
on	
kukin	
saamassa	
yhtä	
suuren	
osuuden	
liiketoiminnasta	
.	
	
Heren	org com
odotetaan	
auttavan	
niitä	
kehittämään	
luksusautoihin	
hienostuneita	
toimintoja	
,	
kuten	
itsenäistä	
ajamista	
.	
