<HEADLINE>	
Bitit	
lentävät	
tuskallisen	
hitaasti	
—	
Pluto-luotaimen	
paras	
saalis	
vielämatkalla	
	
<DATE>	
7.9.2015 23:33	
	
<INGRESS>	
Nasan	org
mukaan	
Pluto-luotaimen	
ottamat	
tarkimmat	
valokuvat	
ovat	
yhä	
arvoitus	
kaikille	
.	
	
Ne	
nähdään	
ehkä	
vasta	
kuukausien	
päästä	
.	
	
<BODY>	
<PARAGRAPH>	
New	pro
Horizons	pro
otti	
Pluton	loc
ohittaessaan	
talteen	
kymmenien	
gigatavujen	
edestä	
valokuvia	
ja	
muuta	
tieteellistä	
tietoa	
.	
	
Datan	
lähettäminen	
Maahan	loc
sai	
vauhtia	
lauantaina	
,	
Yhdysvaltain	loc
avaruushallinto	
Nasa	org
kertoo	
.	
	
<PARAGRAPH>	
"	
Sai	
vauhtia	
"	
on	
tosin	
suhteellinen	
käsite	
,	
sillä	
vaikka	
luotain	
alkoi	
nyt	
käyttää	
Nasan	
Deep	pro
Space	pro
Network	pro
-yhteyksiä	pro
,	
data	
valuu	
Maahan	loc
vain	
1	
–	
4	
kilobitin	
sekuntivauhtia	
.	
	
Syynä	
on	
aluksen	
etäisyys	
–	
se	
on	
tällä	
hetkellä	
noin	
viiden	
miljardin	
kilometrin	
päässä	
meistä	
ja	
loittonee	
koko	
ajan	
.	
	
<PARAGRAPH>	
Dataa	
kuljettavilta	
radiosignaaleilta	
kuluu	
myös	
yli	
neljä	
ja	
puoli	
tuntia	
kulkea	
koko	
matka	
Maahan	loc
valon	
nopeudella	
.	
	
<PARAGRAPH>	
Vasta	
noin	
viisi	
prosenttia	
New	pro
Horizonsin	pro
keräämästä	
datasta	
on	
lähetetty	
tiedemiehille	
ja	
yleisölle	
.	
	
Nasa	org
arvioi	
,	
että	
koko	
data-aarteen	
lähettämiseen	
kuluu	
noin	
vuosi	
.	
	
Se	
myös	
tarkoittaa	
,	
että	
paras	
anti	
on	
vielä	
näkemättä	
.	
	
Yllätyksiä	
on	
luvassa	
muun	
muassa	
entistäkin	
tarkempien	
valokuvien	
muodossa	
.	
