<HEADLINE>	
Se	
tapahtui	
taas	
:	
Selfie	
vei	
hengen	
	
<DATE>	
2.9.2015 23:34	
	
<INGRESS>	
Aseiden	
kanssa	
kännykällä	
otettavat	
omakuvat	
ovat	
mitä	
ilmeisimmin	
todella	
muodostuneet	
ilmiöksi	
.	
	
Pahin	
tapahtui	
taas	
kerran	
,	
KPRC-TV	pro
kertoo	
.	
	
<BODY>	
<PARAGRAPH>	
19-vuotias	
mies	
kuoli	
Houstonissa	bloc
Yhdysvalloissa	bloc
tiistaina	
,	
kun	
hän	
oli	
ottamassa	
niin	
sanottua	
selfietä	
kännykällään	
.	
	
Hänellä	
oli	
toisessa	
kädessään	
ase	
,	
joka	
KPRC-TV	pro
:	pro
n	pro
mukaan	
laukesi	
vahingossa	
.	
	
Luoti	
osui	
kurkkuun	
tappaen	
hänet	
.	
	
<PARAGRAPH>	
Miehellä	
oli	
kaksi	
lasta	
ja	
hän	
oli	
aloittamassa	
opiskelun	
korkeakoulussa	
.	
	
Poliisin	
mukaan	
mies	
luuli	
,	
että	
ase	
ei	
ole	
ladattu	
.	
	
<PARAGRAPH>	
Tapaus	
ei	
ole	
ainoa	
laatuaan	
.	
	
Esimerkiksi	
viime	
vuonna	
meksikolainen	
mies	
kuo	
li	
,	
kun	
hän	
kuvasi	
itseään	
kännykällä	
aseen	
kanssa	
.	
	
<PARAGRAPH>	
Keväällä	
venäläinen	
nainen	
ampui	
itseään	
päähän	
selfietä	
ottaessaan	
.	
	
Hänen	
tilaansa	
luonnehdittiin	
vakavaksi	
heti	
tapauksen	
jälkeen	
.	
