<HEADLINE>	
Väitteet	
asteroiditörmäyksestä	
kiertävät	
netissä	
:	
"	
Ei	
mitään	
pohjaa	
"	
	
<DATE>	
20.8.2015 14:43	
	
<INGRESS>	
Nasa	org
kumoaa	
väitteet	
Maata	loc
uhkaavasta	
asteroidista	
—	
taas	
kerran	
.	
	
<BODY>	
<PARAGRAPH>	
Yhdysvaltain	loc
avaruushallinto	
Nasa	org
vakuuttaa	
,	
että	
maapalloon	
ei	
ole	
iskemässä	
tuhoisa	
asteroidi	
syyskuussa	
.	
	
Nettihuhujen	
mukaan	
asteroidi	
törmää	
15	
.	
	
–18	
.	
	
syyskuuta	
Puerto	loc
Ricon	loc
lähelle	
tuhoten	
suuren	
osan	
Yhdysvaltain	loc
rannikkoa	
ja	
Meksikoa	loc
ja	
muuta	
lähiseutua	
.	
	
<PARAGRAPH>	
Nasan	org
mukaan	
totuus	
ei	
voisi	
olla	
kauempana	
huhusta	
.	
	
<PARAGRAPH>	
–	
Ei	
ole	
mitään	
tieteellistä	
pohjaa	
–	
ei	
yhtään	
todisteen	
häivääkään	
–	
että	
asteroidi	
tai	
mikään	
muukaan	
taivaallinen	
kappale	
osuisi	
Maahan	loc
noina	
päivämäärinä	
,	
Nasan	org
asteroidivahdin	
Near-Earth	org
Object	org
-toimiston	org
johtaja	tit
Paul	per
Chodas	per
toteaa	
tiedotteessa	
.	
	
<PARAGRAPH>	
Tiedossa	
ei	
ylipäätään	
ole	
yhtäkään	
asteroidia	
tai	
komeettaa	
,	
joka	
olisi	
törmäämässä	
lähitulevaisuudessa	
.	
	
Kaikilla	
tunnetuilla	
potentiaalisesti	
vaarallisilla	
asteroideilla	
on	
vain	
0,01	
prosentin	
todennäköisyys	
osua	
Maahan	loc
seuraavan	
sadan	
vuoden	
aikana	
.	
	
<PARAGRAPH>	
–	
Jos	
olisi	
olemassa	
niin	
iso	
kappale	
,	
että	
se	
pystyy	
tekemään	
tuollaista	
tuhoa	
syyskuussa	
,	
olisimme	
jo	
nähneet	
siitä	
jotain	
.	
	
<PARAGRAPH>	
Jotkut	
varmaan	
sanovat	
,	
että	
tietenkin	
Nasa	org
kiistää	
totuuden	
,	
sillä	
onhan	
se	
osa	
Yhdysvaltain	org
hallitusta	org
,	
joka	
"	
ei	
koskaan	
myönnä	
totuutta	
mistään	
"	
.	
	
<PARAGRAPH>	
Mutta	
kyllä	
Nasa	org
on	
joskus	
myöntänyt	
,	
että	
maapallo	
on	
käynyt	
hyvinkin	
lähellä	
valtavaa	
astronomista	
katastrofia	
.	
	
Nimittäin	
vuonna	
2012	
planeettamme	
onnistui	
juuri	
väistämään	
suunnattoman	
auringonpurkauksen	
,	
joka	
olisi	
voinut	
katkaista	
sähköt	
kaikkialta	
.	
	
<PARAGRAPH>	
Nasa	org
on	
tottunut	
torjumaan	
asteroidihuhuja	
.	
	
Sellaiset	
levisivät	
valtoimenaan	
muun	
muassa	
ennen	
21.	
joulukuuta	
2012	
,	
jolloin	
jotkut	
odottivat	
maailmanloppua	
mayojen	
kalenterin	
yhden	
kierroksen	
tullessa	
päätökseensä	
.	
	
<PARAGRAPH>	
Joskus	
asteroidit	
myös	
yllättävät	
.	
	
Helmikuussa	
2013	
iskenyt	
kivi	
ei	
ollut	
etukäteen	
tiedossa	
,	
mutta	
se	
räjähti	
silti	
ydinpommin	
voimakkuudella	
ilmakehässä	
aiheuttaen	
tuhoa	
Venäjän	loc
Tšeljabinskissä	bloc
.	
