<HEADLINE>	
Elopin	per
aurinko	
nousee	
nyt	
Kiinasta	loc
	
<DATE>	
30.4.2014 10:00	
	
<INGRESS>	
Nokian	org
johdosta	
Microsoftin	org
laitebisneksen	
johtoon	
siirtyneen	
Stephen	per
Elopin	per
toiveet	
kohdistuvat	
jälleen	
Kiinaan	loc
.	
	
<BODY>	
<PARAGRAPH>	
Nokian	org
päivinä	
Stephen	per
Elop	per
joutui	
pettymään	
Kiinaan	loc
,	
sillä	
matkapuhelinten	
markkinajohtajan	
asema	
vaihtui	
marginaaliseksi	
toimijaksi	
.	
	
Microsoft	org
haluaa	
edelleen	
myydä	
puhelimia	
Kiinan	loc
suurmarkkinoille	
,	
mutta	
nyt	
sillä	
on	
myös	
toinen	
mahdollinen	
markkinaveturi	
:	
Xbox	pro
One	pro
-pelikonsoli	pro
.	
	
<PARAGRAPH>	
Peking	loc
on	
vuosia	
suhtautunut	
hyvin	
nuivasti	
pelikonsoleihin	
ja	
aikaisemmin	
kokonaan	
kieltänyt	
niiden	
myynnin	
.	
	
Markkinat	
ovat	
kuitenkin	
avautumassa	
,	
ja	
Microsoft	org
ilmoitti	
ryhtyvänsä	
viemään	
Xbox	pro
One	pro
-pelikonsolia	pro
Kiinaan	loc
.	
	
Se	
myy	
sitä	
yhteistyössä	
Shanghai	org
Media	org
Groupiin	org
kuuluvan	
BesTV	org
New	org
Media	org
-yhtiön	org
kanssa	
.	
	
<PARAGRAPH>	
Microsoft	org
perusti	
viime	
vuoden	
syyskuussa	
BesTV	org
:	org
n	org
kanssa	
yhteisyrityksen	
E-Home	org
Entertainment	org
.	
	
Se	
oli	
ensimmäinen	
Shangain	loc
vapaakauppa-alueelle	
rekisteröity	
yritys	
.	
	
<PARAGRAPH>	
Xbox	pro
One	pro
,	
jota	
on	
toimitettu	
13	
maan	
jälleenmyyjille	
yli	
viisi	
miljoonaa	
kappaletta	
vuoden	
vaihteesta	
lähtien	
,	
tulee	
Kiinan	loc
markkinoille	
syyskuussa	
.	
	
Silloin	
pelikonsolin	
myynti	
laajenee	
kaikkiaan	
42	
markkina-alueelle	
,	
Microsoft	org
sanoo	
tiedotteessaan	
.	
	
Mukana	
on	
myös	
Suomi	loc
.	
