<HEADLINE>	
Kaatoiko	
17-vuotias	
suomalaisteini	
Facebookin	pro
?	
	
-	
Vihjaalentoyhtiömurrostakin	
	
<DATE>	
27.1.2015 09:33 (päivitetty 10:11)	
	
<INGRESS>	
Lizard	org
Squad	org
väittää	
kaataneensa	
suositut	
sosiaalisen	
median	
palvelut	
.	
	
<BODY>	
<PARAGRAPH>	
Facebook	pro
,	
Instagram	pro
,	
Tinder	pro
,	
AIM	pro
(	
Aol	pro
Instant	pro
Messenger	pro
)	
sekä	
Hipcat	pro
olivat	
nurin	
tiistaiaamuna	
Suomen	loc
aikaa	
.	
	
<PARAGRAPH>	
Vastuun	
palveluiden	
kaatamisesta	
otti	
Twitterissä	pro
Lizard	org
Squad	org
-hakkeriryhmä	org
.	
	
Liskot	
vihjasivat	
myös	
,	
etteivät	
kaataneet	
Twitteriä	pro
,	
koska	
he	
käyttävät	
sitä	
itse	
omaan	
viestintäänsä	
.	
	
Erillisessä	
tviitissä	
ryhmä	
sanoi	
kaataneensa	
myös	
Myspacen	pro
.	
	
<PARAGRAPH>	
>	
Facebook	pro
,	
Instagram	pro
,	
Tinder	pro
,	
AIM	pro
,	
Hipchat	pro
#	
offline	
#	
LizardSquad—	
Lizard	
Squad	
(	
@	
LizardMafia	
)	
January	
27	
,	
2015	
	
<PARAGRAPH>	
.	
	
<PARAGRAPH>	
Eräässä	
Lizard	org
Squadin	org
tviitissä	
esiintyy	
mitä	
ilmeisimmin	
ryhmän	
suomalaisjäsen	
"	per
Ryan	per
"	per
pidellen	
käsissään	
"	
dox	
me	
"	
-kylttiä	
.	
	
Doxaus	
on	
nettislangi-ilmaus	
toisten	
henkilökohtaisten	
tietojen	
etsimiselle	
ja	
levittämiselle	
.	
	
<PARAGRAPH>	
Tässä	
yhteydessä	
tätä	
voidaan	
pitää	
haasteena	
.	
	
<PARAGRAPH>	
On	
vaikea	
arvioida	
,	
onko	
sosiaalisten	
median	
palveluiden	
ongelma	
todella	
Lizard	org
Squadin	org
tekosia	
.	
	
Sillä	
on	
kuitenkin	
resursseja	
massiivisten	
iskujen	
tekemiseen	
,	
sillä	
ryhmä	
kaatoi	
jouluna	
Xbox	pro
Liven	pro
ja	
Playstation	pro
Networkin	pro
.	
	
<PARAGRAPH>	
Lizard	org
Squadilla	org
on	
käytössä	
palvelunestohyökkäyksiin	
oma	
bottiverkkonsa	
,	
jota	
se	
vuokraa	
myös	
ulkopuolisille	
.	
	
Verkko	
perustuu	
pääosin	
ihmisten	
kotona	
oleviin	
murrettuihin	
reitittimiin	
.	
	
<PARAGRAPH>	
Lizard	org
Squad	org
väittää	
olevansa	
myös	
kovan	
onnen	
lentoyhtiö	
Malaysian	org
Airlinesin	org
sivuille	
hiljattain	
tehdyn	
iskun	
takana	
.	
	
Lentoyhtiön	
sivuille	
ilmestyi	
pari	
päivää	
sitten	
"	
404	
-	
Plane	
missing	
"	
-	
"	
virheilmoitus	
"	
.	
	
Http-protokollaan	pro
kuuluva	
404-ilmoitus	
palvelimen	
ilmoitusta	
siitä	
,	
että	
pyydettyä	
sivua	
ei	
löydy	
.	
	
<PARAGRAPH>	
Lizard	org
Squad	org
väittää	
halussaan	
olevan	
lentoyhtiön	
sähköposteja	
.	
	
Lentoyhtiö	
puolestaan	
ilmoittaa	
,	
että	
sen	
käyttäjien	
tiedot	
ovat	
turvassa	
.	
	
<PARAGRAPH>	
Doxauksen	
määritelmä	
korjattu	
.	
