
<HEADLINE>	
Myynti	
alkaa	
perjantaina	
:	
Foxconn	org
toimitti	
yli	
miljoona	
iPhone	pro
5S	pro
:	pro
ää	pro
ChinaMobilelle	org
	
<DATE>	
15.1.2014 10:02	
	
<INGRESS>	
China	org
Mobile	org
alkaa	
vihdoin	
perjantaina	
toimittaa	
Apple	pro
iPhone	pro
-älypuhelimia	pro
asiakkailleen	
.	
	
IPhone	pro
5S	pro
-älypuhelimia	pro
kokoava	
Foxconn	org
on	
lähettänyt	
operaattorille	
1,4	
miljoonan	
kappaleen	
ensi	
erän	
.	
	
<BODY>	
<PARAGRAPH>	
Maailman	
suurin	
elektroniikan	
sopimusvalmistaja	
Foxconn	org
on	
toimittanut	
maailman	
suurimmalle	
matkapuhelinoperaattorille	
China	org
Mobilelle	org
1,4	
miljoonan	
kappaleen	
alkuerän	
Apple	pro
iPhone	pro
5S	pro
-puhelimia	pro
.	
	
Toimituksesta	
uutisoi	
Wall	org
Street	org
Journal	org
viitaten	
asiasta	
tietävään	
henkilöön	
.	
	
<PARAGRAPH>	
Lehden	
tietolähteen	
mukaan	
helmikuun	
toimitusmäärästä	
ei	
ole	
vielä	
tietoa	
,	
koska	
Apple	org
ei	
ole	
sitä	
vielä	
tilannut	
.	
	
<PARAGRAPH>	
760	
miljoonan	
liittymän	
China	org
Mobile	org
ryhtyi	
vastaanottamaan	
iPhonen	pro
ennakkotilauksia	
25.	
joulukuuta	
.	
	
Se	
ei	
ole	
kommentoinut	
kysyntää	
.	
	
<PARAGRAPH>	
Jos	
China	org
Mobile	org
,	
joka	
on	
ainoa	
4G-palveluja	
tarjoava	
operaattori	
,	
onnistuu	
myymään	
miljoona	
uutta	
iPhonea	pro
kuukaudessa	
,	
sillä	
on	
merkitystä	
Applelle	org
,	
sanoo	
Gartnerin	org
analyytikko	tit
Sandy	per
Shen	per
.	
	
<PARAGRAPH>	
Hänen	
mukaansa	
iPhonea	pro
jo	
aikaisemmin	
myyneet	
China	org
Unicom	org
ja	
China	org
Telecom	org
myyvät	
yhteensä	
noin	
kaksi	
miljoonaa	
iPhonea	pro
kuukaudessa	
.	
	
Niiden	
myynti	
kattaa	
myös	
aikaisemmat	
iPhone-mallit	pro
,	
mutta	
vain	
uudet	
laitteet	
toimivat	
China	org
Mobilen	org
verkossa	
.	
	
<PARAGRAPH>	
Applen	org
markkinaosuus	
Kiinassa	loc
on	
kuusi	
prosenttia	
.	
	
Sen	
edellä	
ovat	
Samsung	org
,	
Lenovo	org
,	
Coolpad	org
(	
Yulong	org
)	
ja	
Huawei	org
.	

<HEADLINE>	
Amerikkalaisoikeus	
kumosi	
internetin	
neutraliteetin	
	
<DATE>	
15.1.2014 07:00	
	
<INGRESS>	
Nykymuotoinen	
internet	
on	
vaarassa	
kadota	
amerikkalaisen	
vetoomustuomioistuimen	
vuoksi	
.	
	
Liittovaltion	
pääkaupungissa	
toimiva	
vetoomusoikeus	
kumosi	
viestintäkomission	
määräyksen	
,	
johon	
netin	
neutraliteetti	
perustuu	
.	
	
<BODY>	
<PARAGRAPH>	
Vetoomusoikeuden	
mukaan	
FCC	org
:	org
llä	org
,	
viestintäkomissiolla	
,	
on	
jonkin	
verran	
oikeuksia	
säännellä	
internetin	
yhteydentarjoajia	
,	
mutta	
se	
ei	
voi	
määrätä	
niitä	
välittämään	
kaikkien	
asiakkaiden	
liikennettä	
tasapuolisesti	
.	
	
<PARAGRAPH>	
Oikeuden	
päätös	
,	
mikäli	
se	
jää	
sellaisenaan	
voimaan	
,	
tarkoittaa	
sitä	
,	
että	
tele-	
ja	
laajakaistaoperaattorit	
voivat	
suosia	
tiettyjä	
liikennetyyppejä	
tai	
asiakkaita	
.	
	
The	org
New	org
York	org
Times	org
mainitsee	
mahdollisina	
suosimiskohteina	
esimerkiksi	
urheilukanava	
ESPN	org
:	org
n	org
tai	
Facebookin	org
.	
	
Rahaa	
vastaan	
niiden	
sisältöä	
välitettäisiin	
kilpailijoiden	
sisältöä	
nopeammin	
.	
	
<PARAGRAPH>	
Operaattorit	
ovat	
menneisyydessä	
myös	
halunneet	
torjua	
tai	
hidastaa	
käyttökelvottomaksi	
Skypen	pro
tai	
Google	pro
Talkin	pro
kaltaisen	
ip-puheluliikenteen	
.	
	
<PARAGRAPH>	
Tiistainen	
päätös	
oli	
jo	
toinen	
sääntelyoikeutta	
koskeva	
päätös	
,	
jonka	
FCC	org
on	
hävinnyt	
vetoomusoikeudessa	
.	
	
<PARAGRAPH>	
Vetoomusoikeudessa	
kaksi	
tuomaria	
allekirjoitti	
päätöksen	
ja	
kolmaskin	
oli	
osittain	
sen	
kannalla	
.	
	
Päätös	
perustui	
siihen	
,	
että	
FCC	org
on	
määritellyt	
internetpalvelut	
tietopalveluksi	
eikä	
televiestintäpalveluksi	
,	
joten	
se	
ei	
voi	
säännellä	
niitä	
niin	
kuin	
ne	
olisivat	
televiestintäpalveluja	
.	
	
<PARAGRAPH>	
Päätös	
oli	
voitto	
Verizonille	org
ja	
muille	
suurille	
laajakaistaoperaattoreille	
.	
	
Yritysmaailmassa	
suurimmat	
häviäjät	
ovat	
suuret	
internetyritykset	
ja	
ennen	
kaikkea	
videopohjaiset	
palvelut	
ja	
niiden	
asiakkaat	
.	
	
<PARAGRAPH>	
FCC	org
voi	
valittaa	
päätöksestä	
vetoomusoikeuden	
täydelle	
tuomaripaneelille	
.	
	
Se	
voisi	
myös	
määritellä	
internetpalvelut	
televiestintäpalveluiksi	
,	
jota	
netti-	
ja	
kuluttajan	
oikeuksia	
puolustavat	
tahot	
ovat	
ehdottaneet	
.	
	
Uusi	
määrittely	
saisi	
kannatusta	
Obaman	per
hallitukselta	
,	
mutta	
suuret	
operaattorit	
ja	
republikaanit	
vastustavat	
ajatusta	
kiivaasti	
.	
	
<PARAGRAPH>	
–	
AT	org
&	org
amp	org
;	org
T	org
;	org
,	
Verizon	org
ja	
Comcast	org
voivat	
välittää	
joitakin	
saitteja	
ja	
palveluja	
nopeammin	
ja	
luotettavammin	
kuin	
toisia	
mistä	
tahansa	
syystä	
.	
	
Oikusta	
,	
kateudesta	
,	
tietämättömyydestä	
,	
kilpailusyistä	
,	
kostosta	
,	
mistä	
tahansa	
syystä	
tai	
ihan	
ilman	
mitään	
syytä	
,	
telealan	
lakimies	tit
Marvin	per
Ammori	per
ennakoi	
päätöstä	
Los	org
Angeles	org
Timesin	org
mukaan	
.	
	
Lehden	
mukaan	
päätös	
suolesti	
