<HEADLINE>	
Forbes	pro
.	pro
	pro
comin	pro
"	
Päivän	
ajatus	
"	
vakoili	
kiinalaisille	
	
<DATE>	
11.2.2015 07:44	
	
<INGRESS>	
Tunnettu	
talousuutispalvelu	
Forbes	pro
on	
toiminut	
porttina	
kiinalaiselle	
vakoiluryhmälle	
.	
	
Kahden	
tietoturvayrityksen	
mukaan	
hyökkäys	
tapahtui	
Forbesin	pro
palvelun	
Thought	pro
of	pro
the	pro
Day	pro
-sivun	pro
kautta	
.	
	
<BODY>	
<PARAGRAPH>	
Forbesin	pro
verkkouutispalvelu	
keskittyy	
talouselämän	
uutisiin	
.	
	
Siellä	
kävi	
syyskuussa	
33	
miljoonaa	
eri	
kävijää	
.	
	
Tietoturvatutkijat	
,	
joiden	
mukaan	
Päivän	
ajatus	
oli	
saastutettu	
marraskuussa	
,	
havaitsivat	
Forbesin	pro
hyväksikäytön	
muiden	
selvitysten	
yhteydessä	
.	
	
<PARAGRAPH>	
Hyökkäys	
,	
joka	
tapahtui	
Päivän	
ajatus	
-esisivun	
kautta	
,	
oli	
suunnattu	
talouselämän	
vaikuttajiin	
.	
	
Sen	
takana	
on	
sama	
ryhmä	
jonka	
on	
aikaisemminkin	
kohdistanut	
vakoiluyrityksiä	
talouselämän	
ja	
puolustusteollisuuden	
yrityksiin	
.	
	
<PARAGRAPH>	
Vakoiluryhmä	
ujutti	
haittaohjelman	
Microsoftin	org
Internet	pro
Explorer	pro
-	pro
selaimen	pro
tai	
Adoben	org
Flashin	pro
haavoittuvuuksien	
kautta	
vierailijan	
koneelle	
,	
sanoivat	
iSight	org
Partners	org
ja	
Invincea	org
-tietoturvayritykset	org
.	
	
<PARAGRAPH>	
Molemmat	
haavoittuvuudet	
on	
nyt	
paikattu	
.	
	
<PARAGRAPH>	
Tietoturvayritykset	
sanovat	
,	
että	
niillä	
on	
vain	
hyvin	
rajoitettu	
näkymä	
siitä	
,	
mitä	
Forbesin	pro
palvelussa	
on	
tapahtunut	
.	
	
Forbesin	pro
edustaja	
sanoo	
,	
että	
palvelussa	
on	
havaittu	
vain	
yksi	
tapahtuma	
.	
	
Se	
sattui	
28.	
marraskuuta	
,	
ja	
siihen	
reagoitiin	
1.	
joulukuuta	
.	
	
<PARAGRAPH>	
Uutistoimisto	
Reuters	org
kirjoitti	
,	
että	
iSightin	org
John	per
Hultquistin	per
mukaan	
Forbes	pro
on	
suosituin	
mediapalvelu	
,	
johon	
vakoojat	
ovat	
tunkeutuneet	
.	
	
Tunnettuihin	
medioihin	
kohdistuneissa	
,	
julkisuuteen	
tulleissa	
hyökkäyksissä	
ovat	
aikaisemmin	
olleet	
takana	
rahaa	
tavoittelevat	
rikolliset	
.	
	
<PARAGRAPH>	
ISight	org
on	
tunnistanut	
Forbesin	pro
hyökkäyksessä	
kiinalaisen	
Codoso	org
tai	
Sunshop	org
-nimillä	org
tunnetun	
ryhmän	
,	
joka	
kohteena	
ovat	
aikaisemmin	
olleet	
hongkongilainen	
ajatushautomo	
Cefc	pro
.	pro
	pro
com	pro
.	pro
	pro
hk	pro
ja	
kiinalaisiin	
uiguurivähemmistöryhmiin	
keskittyneet	
Turkkonseyi	pro
.	pro
	pro
com	pro
ja	
Gokbayrak	pro
.	pro
	pro
com	pro
.	
	
Codoso	org
on	
tunkeutunut	
vuodesta	
2010	
lähtien	
energia-	
ja	
talousalan	
yritysten	
,	
valtion	
virastojen	
,	
toisinajattelijoiden	
ja	
ajatushautomoiden	
verkkoihin	
,	
iSight	org
sanoo	
.	
