 	
<HEADLINE> 	
Sähköautoakkujen 	
kehittäjä 	
syyttää 	
Applea 	org
aivoryöstöstä 	
 	
<DATE> 	
19.2.2015 07:17 	
 	
<INGRESS> 	
Sähköautoakkuja 	
kehittävä 	
A123 	org
Systems 	org
on 	
nostanut 	
kanteen 	
Applea 	org
ja 	
viittä 	
entistä 	
insinööriään 	
vastaan 	
. 	
 	
<BODY> 	
<PARAGRAPH> 	
Suuria 	
litium-ioniakkuja 	
kehittävä 	
A123 	org
Systems 	org
syyttää 	
Applea 	
tärkeimpien 	
insinööriensä 	
ryöväämisestä 	
ja 	
viittä 	
insinööriä 	
kilpailunrajoitussopimustensa 	
rikkomisesta 	
, 	
uutistoimisto 	
Reuters 	org
kirjoittaa 	
. 	
 	
<PARAGRAPH> 	
Apple 	org
on 	
palkannut 	
autojärjestelmien 	
asiantuntijoita 	
ahkerasti 	
myös 	
muista 	
yrityksistä 	
, 	
Tesla 	org
mukaan 	
lukien 	
. 	
 	
<PARAGRAPH> 	
Apple 	org
ryhtyi 	
kesäkuussa 	tim
2014 	tim
värväämään 	
A123 	org
Systemsin 	org
asiantuntijoita 	
, 	
joista 	
monet 	
johtivat 	
yhtiön 	
kriittisimpiä 	
projekteja 	
, 	
kanteessa 	
sanotaan 	
. 	
 	
Sen 	
mukaan 	
henkilöitä 	
värvättiin 	
vastaavaan 	
työhön 	
Applelle 	org
, 	
mikä 	
rikkoo 	
työntekijöiden 	
kilpailunrajoitussopimusta 	
. 	
 	
<PARAGRAPH> 	
Kanteen 	
nostaja 	
on 	
teollisten 	
litium-ioniakkujen 	
pioneeri 	
, 	
joka 	
on 	
saanut 	
liittovaltiolta 	
249 	
miljoonaa 	
dollaria 	
rahoitusta 	
. 	
 	
Se 	
hakeutui 	
yritysjärjestelyyn 	
vuonna 	tim
2012 	tim
ja 	
on 	
joutunut 	
sen 	
jälkeen 	
myymään 	
osiaan 	
. 	
 	
<PARAGRAPH> 	
Kanteessa 	
ei 	
eritellä 	
Applen 	org
värväämien 	
työntekijöiden 	
tehtäviä 	
, 	
mutta 	
sanotaan 	
heidän 	
olleen 	
niin 	
tärkeitä 	
, 	
että 	
joitain 	
projekteja 	
piti 	
keskeyttää 	
. 	
 	
Lisäksi 	
kanteessa 	
sanotaan 	
, 	
että 	
yksi 	
viidestä 	
kanteessa 	
mainituista 	
insinööristä 	
toimii 	
Applen 	org
värvääjänä 	
ja 	
että 	
Apple 	org
on 	
ilmeisesti 	
perustamassa 	
omaa 	
akkutuotantoyksikköä 	
. 	
 	
<PARAGRAPH> 	
A123 	org
sanoi 	
uskovansa 	
, 	
että 	
Apple 	org
on 	
palkkaamassa 	
akkuteknologian 	
asiantuntijoita 	
myös 	
muista 	
yrityksistä 	
. 	
 	
Se 	
mainitsi 	
sellaiset 	
yritykset 	
kuin 	
LG 	org
Chem 	org
, 	
Samsung 	org
SDI 	org
, 	
Panasonic 	org
, 	
Toshiba 	org
ja 	
Johnson 	org
Controls 	org
. 	
 	
<PARAGRAPH> 	
LinkedIn-palvelussa 	pro
näkyvistä 	
tiedoista 	
selviää 	
, 	
että 	
Apple 	org
on 	
ollut 	
ahkera 	
autoalan 	
osaajien 	
palkkaamisessa 	
. 	
 	
Monilla 	
palkatuista 	
on 	
kokemusta 	
robottiautoista 	
. 	
 	
Yli 	
60 	
Teslan 	org
entistä 	
työntekijää 	
on 	
nyt 	tim
Applen 	org
leivissä 	
. 	
 	
<PARAGRAPH> 	
LinkedInin 	org
tiedoista 	
näkyy 	
, 	
että 	
Applen 	org
palkkalistoille 	
on 	
kanteessa 	
mainittujen 	
viiden 	
insinöörin 	
lisäksi 	
siirtynyt 	
myös 	
ainakin 	
kuusi 	
muuta 	
henkilöä 	
, 	
jotka 	
ennen 	
olivat 	
A123 	org
: 	org
n 	org
työntekijöitä 	
. 	
 	
<HEADLINE> 	
60 	
000 	
piilaaksolaista 	
penää 	
rahaa 	
Googlelta 	org
ja 	
muilta 	
jäteiltä 	
 	
<DATE> 	
15.1.2014 11:55 	
 	
<INGRESS> 	
Yhdysvaltain 	loc
teknologiakeskittymän 	
Piilaakson 	loc
työntekijät 	
ovat 	
saaneet 	
luvan 	
ryhmäkanteeseen 	
, 	
jossa 	
ne 	
syyttävät 	
teknoyhtiöitä 	
tulonmenetyksistä 	
. 	
 	
<BODY> 	
<PARAGRAPH> 	
Noin 	
60 	
000 	
työntekijää 	
sain 	
myöhään 	tim
tiistaina 	tim
Kalifornian 	org
valitustuomioistuimelta 	org
luvan 	
nostaa 	
palkkoja 	
koskevan 	
kartellisyytteen 	
useita 	
teknojättejä 	
, 	
kuten 	
Applea 	org
ja 	
Googlea 	org
vastaan 	
. 	
 	
<PARAGRAPH> 	
Yhtiöt 	
ovat 	
joukkokanteen 	
mukaan 	
rikkoneet 	
kahta 	
kilpailulakia 	
, 	
koska 	
ne 	
ovat 	
sopineet 	
yhdessä 	
jättävänsä 	
toistensa 	
työntekijät 	
rauhaan 	
uutta 	
työvoimaa 	
rekrytoidessaan 	
. 	
 	
<PARAGRAPH> 	
Näin 	
ne 	
olisivat 	
alentaneet 	
palkkatasoa 	
sopimalla 	
keskenään 	
. 	
 	
<PARAGRAPH> 	
Syytökset 	
juontuvat 	
vuoteen 	tim
2011 	tim
, 	
jolloin 	
viisi 	
ohjelmistosuunnittelijaa 	
vei 	
teknologiayhtiöitä 	
oikeuteen 	
siitä 	
, 	
että 	
nämä 	
olivat 	
sopineet 	
salassa 	
, 	
etteivät 	
kalastele 	
toistensa 	
työntekijöitä 	
. 	
 	
<PARAGRAPH> 	
Applen 	org
ja 	
Googlen 	org
lisäksi 	
vehkeilyyn 	
on 	
yhdistetty 	
ohjelmistoyhtiö 	
Adobe 	org
Systemsin 	org
ja 	
puolijohdevalmistaja 	
Intelin 	org
tapaisia 	
yhtiöitä 	
. 	
 	
<PARAGRAPH> 	
Kilpailu 	
parhaasta 	
työvoimasta 	
on 	
kovaa 	
Piilaaksossa 	loc
, 	
ja 	
terävimpiä 	
aivoja 	
houkutellaan 	
suurilla 	
palkoilla 	
. 	
 	
<PARAGRAPH> 	
Teknologiayhtiöiden 	
mukaan 	
oikeudenkäynti 	
saattaa 	
tuottaa 	
niille 	
jopa 	
yhdeksän 	
miljardin 	
dollarin 	
tappiot 	
. 	
 	
<PARAGRAPH> 	
Yhtiöt 	
eivät 	
tuoreeltaan 	
kommentoineet 	
joukkokannetta 	
uutistoimisto 	
Reutersille 	org
. 	
 	
<PARAGRAPH> 	
Aiemmin 	
yhtiöt 	
ovat 	
sanoneet 	
, 	
että 	
syytökset 	
ovat 	
liian 	
hajanaisia 	
, 	
koska 	
ne 	
kattavat 	
2 	
400 	
eri 	
ammattinimikettä 	
seitsemässä 	
yhtiössä 	
. 	
 	
Työntekijät 	
eivät 	
yhtiöiden 	
mukaan 	
ole 	
osoittaneet 	
sopimusten 	
vaikutuksia 	
palkkaukseen 	
. 	
 	
<HEADLINE> 	
" 	
Kuula 	
kalloon 	
" 	
: 	
Jenkkivakoojat 	
puhuvat 	
avoimesti 	
Snowdenin 	per
tappamisesta 	
 	
<DATE> 	
19.1.2014 16:00 	
 	
<INGRESS> 	
Yhdysvaltain 	loc
vakoojat 	
puhuvat 	
nettisivuston 	
mukaan 	
avoimesti 	
tietovuotaja 	tit
Edward 	per
Snowdenin 	per
tappamisesta 	
. 	
 	
Maailmalla 	
kiitosta 	
saanut 	
tietovuotaja 	
on 	
Yhdysvaltain 	loc
tiedustelupiireissä 	
petturi 	
. 	
 	
<BODY> 	
<PARAGRAPH> 	
Tietovuotaja 	tit
Edward 	per
Snowden 	per
on 	
kokenut 	
paljon 	
tultuaan 	
julkisuuteen 	
Yhdysvaltain 	loc
ja 	
Iso-Britannian 	loc
vakoiluohjelmien 	
paljastajana 	
, 	
mutta 	
toistaiseksi 	tim
hänen 	
henkensä 	
ei 	
ole 	
ollut 	
vaarassa 	
. 	
 	
<PARAGRAPH> 	
Yhdysvaltalaisen 	
BuzzFeed 	org
-sivuston 	org
mukaan 	
maan 	
vakoojat 	
kuitenkin 	
puhuvat 	
avoimesti 	
halustaan 	
päästä 	
eroon 	
Snowdenista 	per
lopullisesti 	
. 	
 	
<PARAGRAPH> 	
– 	
Olisi 	
mahtavaa 	
laittaa 	
kuula 	
hänen 	
kalloonsa 	
, 	
Yhdysvaltain 	org
puolustusministeriön 	org
Pentagonin 	borg
virkamies 	
sanoi 	
sivustolle 	
. 	
 	
<PARAGRAPH> 	
– 	
Maailmassa 	
jossa 	
minua 	
ei 	
estettäisi 	
tappamasta 	
toista 	
amerikkalaista 	
, 	
päästäisin 	
hänet 	
päiviltään 	
henkilökohtaisesti 	
, 	
