<HEADLINE>	
Uusi	
suomalaistabletti	
viivästyi	
monilta	
—	
yritys	
selittää	
	
<DATE>	
15.1.2015 18:57	
	
<INGRESS>	
Eve-Tech	org
kertoo	
,	
miksi	
moni	
suomalainen	
tilaaja	
vielä	
odottaa	
Windows-tablettiaan	pro
.	
	
Jotkut	
ovat	
jo	
pyytäneet	
ja	
saaneet	
rahat	
takaisin	
.	
	
<BODY>	
<PARAGRAPH>	
Eve-Tech	org
julkisti	
Windows	pro
8.1:tä	pro
käyttävän	
Eve	pro
T1	pro
-tablettinsa	pro
viime	
vuoden	
lopulla	
Jollan	org
ja	
Nokian	org
tablettien	
vanavedessä	
.	
	
Mutta	
kaikki	
ei	
ole	
sen	
jälkeen	
mennyt	
aivan	
suunnitelmien	
mukaan	
.	
	
<PARAGRAPH>	
Moni	
tabletin	
Suomessa	loc
tilannut	
asiakas	
odottaa	
laitetta	
vieläkin	
,	
vaikka	
sen	
piti	
saapua	
ennen	
vuodenvaihdetta	
.	
	
Eve-Techin	org
toimitusjohtajan	
mukaan	
syynä	
on	
kömmähdys	
T1	pro
:	pro
n	pro
ensimmäisen	
erän	
tullessa	
myyntiin	
joulukuussa	
.	
	
<PARAGRAPH>	
–	
Kysyntä	
oli	
hyvin	
suurta	
,	
ja	
myimme	
Suomessa	loc
noin	
50	
laitetta	
enemmän	
kuin	
mitä	
meillä	
oli	
.	
	
Heille	
kerrottiin	
asiasta	
ja	
annettiin	
vaihtoehdoksi	
joko	
odottaa	
tai	
saada	
rahansa	
takaisin	
,	
Konstantinos	per
Karatsevidis	per
selvittää	
.	
	
<PARAGRAPH>	
–	
Olemme	
startup	
,	
joten	
ylimääräisen	
varaston	
pitäminen	
voisi	
aiheuttaa	
meille	
taloudellisesti	
katastrofaalisia	
seurauksia	
.	
	
Emme	
voineet	
ennakolta	
valmistautua	
tähän	
tilanteeseen	
,	
joka	
sattui	
tilausjärjestelmän	
kanssa	
.	
	
Olemme	
kertoneet	
avoimesti	
asiakkaillemme	
tilanteesta	
ja	
tarjonneet	
heille	
kompensaatiota	
.	
	
Vika	
järjestelmässä	
on	
nyt	
korjattu	
eikä	
tällaista	
pitäisi	
sattua	
enää	
.	
	
<PARAGRAPH>	
Yksi	
asiakas	
otti	
toimitukseen	
yhteyttä	
ja	
mietti	
,	
mistä	
kiikastaa	
.	
	
Toimitusjohtajan	
mukaan	
tilaustietokanta	
ei	
yksinkertaisesti	
suoriutunut	
ruuhkasta	
ja	
otti	
vastaan	
enemmän	
tilauksia	
,	
kuin	
mitä	
laitteita	
oli	
lähetettävänä	
.	
	
<PARAGRAPH>	
Tabletteja	
on	
toimitettu	
Suomessa	loc
asiakkaille	
noin	
50	
kappaletta	
.	
	
Noin	
neljäkymmentä	
odottaa	
vielä	
toimitusta	
,	
koska	
noin	
kymmenen	
asiakasta	
on	
halunnut	
rahansa	
takaisin	
.	
	
<PARAGRAPH>	
Karatsevidisin	per
mukaan	
seuraava	
erä	
on	
tulossa	
pian	
Kiinasta	loc
.	
	
Odottajille	
on	
myös	
luvattu	
16	
gigatavun	
muistikortti	
hyvityksenä	
viivästyksestä	
.	
	
Hänen	
mukaansa	
Eve-Tech	org
ei	
halua	
tehdä	
kompromissia	
hyvän	
laadun	
suhteen	
ja	
tämän	
asian	
varmistaminen	
ottaa	
valitettavasti	
aikansa	
tällaisessakin	
tilanteessa	
.	
	
<PARAGRAPH>	
Karatsevidis	per
kertoo	
suurimman	
osan	
valmistetuista	
tableteista	
menneen	
yrityskumppaneille	
sekä	
asiakkaille	
Suomen	loc
ulkopuolella	
.	
