<HEADLINE>	
Ulkoministeriön	org
rakennuksesta	
pihistettiin	
kameroita	
	
<DATE>	
2.1.2014 15:45	
	
<INGRESS>	
Varkaat	
iskivät	
fyysisesti	
ulkoministeriön	org
toimitiloihin	
.	
	
Kiinnisaatuja	
kiinnostivat	
erityisesti	
kamerat	
.	
	
<BODY>	
<PARAGRAPH>	
Ulkoministeriö	org
kertoo	
sen	
viestintä-	
ja	
kulttuuriosaston	
tiloihin	
Helsingin	loc
Katajanokalla	bloc
murtaudutun	
uudenvuodenyönä	
.	
	
<PARAGRAPH>	
Poliisi	
on	
pidättänyt	
kaksi	
nuorta	
henkilöä	
murrosta	
epäiltyinä	
.	
	
Tässä	
vaiheessa	
näyttää	
siltä	
,	
että	
murto	
tehtiin	
lähinnä	
hetken	
mielijohteesta	
.	
	
<PARAGRAPH>	
Ministeriön	
edustajan	
mukaan	
varkaat	
veivät	
etenkin	
kameroita	
ja	
niiden	
tarvikkeita	
kuten	
objektiiveja	
.	
	
Yksi	
puhelinkin	
näytti	
olevan	
kateissa	
.	
	
Valinta	
osui	
kameroihin	
luultavasti	
,	
koska	
niitä	
oli	
viestintä-	
ja	
kulttuuriosaston	
tiloissa	
hyvin	
saatavilla	
.	
	
<PARAGRAPH>	
Edustajan	
on	
hyvin	
vaikea	
kuvitella	
tapauksella	
olevan	
mitään	
yhteyttä	
syksyllä	
laajasti	
puhuttaneeseen	
ulkoministeriön	
tietoverkkomurtoon	
.	
	
<PARAGRAPH>	
Valtaosa	
omaisuudesta	
on	
jo	
saatu	
talteen	
.	
	
Mutta	
on	
mahdollista	
,	
että	
henkilöstö	
lomilta	
palattuaan	
huomaa	
vielä	
jotakin	
puuttuvan	
.	
