nykyä	O	O
93	O	O
.	O	O
1892	O	O
.	O	O
Katowuoden	O	O
seuraus	O	O
sekin	O	O
.	O	O
Sawitaipaleen	B-LOC	O
kansakoulusali	O	O
oli	O	O
ennen	O	O
niin	O	O
täpötäysi	O	O
oppilaita	O	O
,	O	O
ettei	O	O
woitu	O	O
kaikkia	O	O
pyrkijöitä	O	O
siihen	O	O
ottaa	O	O
.	O	O
Waan	O	O
nyt	O	O
tämän	O	O
lukukauden	O	O
alusta	O	O
ei	O	O
ole	O	O
kun	O	O
17	O	O
poika-	O	O
ja	O	O
14	O	O
tyttölasta	O	O
yht	O	O
.	O	O
31	O	O
kaikkiaan	O	O
,	O	O
waikka	O	O
on	O	O
sekakoulu	O	O
.	O	O
Postitoimistoa	O	O
hommaa	O	O
muutamat	O	O
Sawitaipaleen	B-LOC	O
ukot	O	O
.	O	O
Åskettäin	O	O
jotkut	O	O
niistä	O	O
waaltuuttiwat	O	O
niistä	O	O
yhden	O	O
joukostaan	O	O
alamaisimmasti	O	O
postiylihallitukselta	O	O
pyytämään	O	O
postitoimistoa	O	O
mainitun	O	O
pitäjän	O	O
kirkonkylään	O	O
luullen	O	O
että	O	O
niin	O	O
suureen	O	O
liikepaikkaan	O	O
se	O	O
jo	O	O
myönnettäneen	O	O
.	O	O
Weteen	B-LOC	O
kuollut	O	O
.	O	O
Tämän	O	O
kuun	O	O
6	O	O
p:nä	O	O
läksiwät	O	O
Sawitaipaleella	B-LOC	O
kaksipoikaa	O	O
järwen	O	O
jäälle	O	O
luistelemaan	O	O
,	O	O
joka	O	O
päättyi	O	O
siten	O	O
,	O	O
että	O	O
pojat	O	O
upposiwat	O	O
weteen	O	O
.	O	O
Toisen	O	O
niistä	O	O
kumminkin	O	O
onnistui	O	O
päästä	O	O
ylös	O	O
ja	O	O
koki	O	O
pelastaa	O	O
toweriaan	O	O
hengenhädästä	O	O
,	O	O
waan	O	O
turhaan	O	O
,	O	O
sillä	O	O
apua	O	O
kun	O	O
ei	O	O
kuulunut	O	O
,	O	O
niin	O	O
se	O	O
toinen	O	O
12	O	O
wuotinen	O	O
Aapeli	B-PER	O
Hölsän	I-PER	O
poika	O	O
kuoli	O	O
siihen	O	O
.	O	O
Tulipaloja	O	O
.	O	O
T	O	O
.	O	O
k	O	O
.	O	O
12	O	O
p:wää	O	O
wasten	O	O
yöllä	O	O
syttyi	O	O
Sawitaipaleella	B-LOC	O
talollisen	O	O
Taawetti	B-PER	O
Kaulion	I-PER	O
liiteri	O	O
ja	O	O
olkilato	O	O
tuleen	O	O
,	O	O
jossa	O	O
paloi	O	O
kaikki	O	O
sen	O	O
talon	O	O
oljet	O	O
ja	O	O
heinät	O	O
,	O	O
mitä	O	O
kodissa	O	O
oli	O	O
,	O	O
sekä	O	O
ajokalut	O	O
,	O	O
ja	O	O
kun	O	O
siihen	O	O
saapui	O	O
paljon	O	O
wäkeä	O	O
niin	O	O
toki	O	O
saatiin	O	O
suurella	O	O
waiwalla	O	O
wältetyksi	O	O
,	O	O
ettei	O	O
koko	O	O
kartano	O	O
palanut	O	O
.	O	O
Paloi	O	O
niinikään	O	O
samana	O	O
yönä	O	O
talol	O	O
.	O	O
Juho	B-PER	O
Mäntykiwen	I-PER	O
sauna	O	O
kotineen	O	O
tuhaksi	O	O
samalta	O	O
Mäntykiweltä	B-LOC	O
6	O	O
wiikkoa	O	O
sitten	O	O
paloi	O	O
riihi	O	O
wiljoineen	O	O
.	O	O
Kumottu	O	O
kanne	O	O
.	O	O
Eräs	O	O
Matti	B-PER	O
,	O	O
joka	O	O
oli	O	O
wuosina	O	O
1870	O	O
72	O	O
ollut	O	O
Sawitaipaleen	B-LOC	O
kunn	O	O
.	O	O
lautakunnan	O	O
esimiehenä	O	O
,	O	O
teki	O	O
toissa	O	O
kesänä	O	O
kanteen	O	O
nykyistä	O	O
kunnan	O	O
esimiestä	O	O
wastaan	O	O
siitä	O	O
,	O	O
kun	O	O
ei	O	O
esimies	O	O
ilmoittanut	O	O
pitäwänsä	O	O
kuntakokousta	O	O
mainittujen	O	O
hallintowuosien	O	O
kunnallistilein	O	O
selwityksestä	O	O
,	O	O
waan	O	O
antoi	O	O
Matille	B-PER	O
walitus-osoituksen	O	O
kuwernööriin	O	O
,	O	O
johon	O	O
Matti	B-PER	O
joutuin	O	O
menikin	O	O
,	O	O
saamaan	O	O
rahojansa	O	O
kunnalta	O	O
takasin	O	O
,	O	O
mitä	O	O
oikeudet	O	O
oliwat	O	O
tuominneet	O	O
hänet	O	O
maksamaan	O	O
.	O	O
No	O	O
,	O	O
mitäs	O	O
muuta	O	O
?	O	O
kuwernööri	O	O
waatikin	O	O
kuntakokouksen	O	O
selitystä	O	O
asiasta	O	O
,	O	O
johon	O	O
riitaan	O	O
kunta	O	O
antoikin	O	O
selityksen	O	O
,	O	O
joka	O	O
lyhennettynä	O	O
kuuluu	O	O
:	O	O
että	O	O
Matti	B-PER	O
wuonna	O	O
1873	O	O
on	O	O
tuomittu	O	O
ensin	O	O
sowinto-oikeudelta	O	O
ja	O	O
sitten	O	O
kihlakunnalta	O	O
sekä	O	O
wiimein	O	O
Wiip	O	O
.	O	O
howioikeudelta	O	O
,	O	O
maksamaan	O	O
S:taipaleen	O	O
kunnalle	O	O
tulewan	O	O
rahawajauksen	O	O
,	O	O
yhteensä	O	O
1	O	O
,	O	O
666	O	O
,	O	O
mrkaa	O	O
,	O	O
ja	O	O
kun	O	O
ei	O	O
Matin	B-PER	O
warat	O	O
siihen	O	O
riittäneet	O	O
,	O	O
niin	O	O
maksoiwat	O	O
sen	O	O
aikuiset	O	O
lautakunnan	O	O
jäsenet	O	O
ne	O	O
tileistä	O	O
puuttuwat	O	O
rahawarat	O	O
,	O	O
josta	O	O
kuwernööri	O	O
päätöksellään	O	O
wiime	O	O
wuoden	O	O
Lokak	O	O
.	O	O
31	O	O
p:nä	O	O
tahtoi	O	O
hyljätä	O	O
koko	O	O
Matin	B-PER	O
kanteen	O	O
.	O	O
Eipä	O	O
Matti	B-PER	O
wieläkään	O	O
tähän	O	O
päätökseen	O	O
tyytynyt	O	O
,	O	O
waan	O	O
walitti	O	O
Keis	O	O
.	O	O
Senattiin	O	B-ORG
,	O	O
johon	O	O
wiime	O	O
Toukok	O	O
.	O	O
1	O	O
päiwää	O	O
ennen	O	O
oli	O	O
esimiehen	O	O
taas	O	O
wastattawa	O	O
,	O	O
josta	O	O
Senaatti	O	B-ORG
näkyy	O	O
wiime	O	O
Kesäk	O	O
.	O	O
29	O	O
p:nä	O	O
wahwistaneen	O	O
kuwernöörin	O	O
päätöksen	O	O
,	O	O
kumoamalla	O	O
Matin	B-PER	O
kanteen	O	O
.	O	O
Mainitun	O	O
Matin	B-PER	O
matkat	O	O
,	O	O
kuuluwat	O	O
kumminkin	O	O
kulkewan	O	O
wielä	O	O
Wiipuriin	B-LOC	O
päin	O	O
,	O	O
läänimme	O	O
kansliaan	O	O
kokoamaan	O	O
kumottua	O	O
kannettaan	O	O
,	O	O
mutta	O	O
millä	O	O
perusteella	O	O
,	O	O
sitä	O	O
ei	O	O
kirjeen	O	O
waihtajamme	O	O
tiedä	O	O
.	O	O
Merkit	O	O
warkauden	O	O
todistajina	O	O
.	O	O
Kun	O	O
eräs	O	O
koulupoika	O	O
Sawitaipaleesta	B-LOC	O
oli	O	O
itselleen	O	O
saanut	O	O
majapaikan	O	O
kirkonmies	O	O
A	B-PER	O
.	I-PER	O
Haimilan	I-PER	O
