TtzMllN	O
SliWNlllt	O
N:o	O
1.	O
Tammikuun	B-TIM
alkuvunlislo.	O
1900	B-TIM
Tampereella,	B-LOC_PPL
«,	O
«,	O
I«n»l»n	O
«l	O
<lu«p»,	O
llllap,	O
I9UN	O
Tilaushinta	O
TnimiMlse»	O
la	O
taittic»	O
llsi»!l,ics!e!l	O
!u«»9	O
Tynvälill»,	B-LOC_PPL
se»	O
la	O
Herrain	B-TIT
G.	B-PER
E.	I-PER
Jansson	I-PER
in	O
Kumpp.	O
liljapainossl,	O
lampe.	O
rcN»	O
mt.	O
s:>ä,	O
ynnä	O
tailiesa	O
ma-mmc	O
postilonttoo-.	O
rc,«s»	O
ml.	O
25	O
p:iä.	O
Kuudes	O
Vuosikerta.	O
Toimittajat	B-TIT
O.	B-PER
Söderhslm,	I-PER
G.	B-PER
Kunnari,	I-PER
K.	B-PER
Prusi	I-PER
W»«!anwc>,	O
Ilmoituksia	O
w»«tall!lo!eta»n	O
pennin	O
nilllws!»	O
ensi	O
ja	O
pennin	O
malsust»	O
lehdm	O
mulll»	O
siwuillll,	O
pieneltn	O
riwiltä.	O
Kuolemanilmmtukset	O
kehyksellä	O
warustetut	O
mk.	O
Päiwälista.	O
Postikonttoori	O
on	O
awoinna	O
Arkipaiwwä:	B-TIM
«o	B-TIM
>0-1	I-TIM
a.	B-TIM
p.	I-TIM
ja	O
5?6	B-TIM
i.	B-TIM
Sunnuntai-	B-TIM
ja	O
luhlapäiwinä:	B-TIM
klo	B-TIM
9?lo	I-TIM
a.	B-TIM
p.	I-TIM
ja	O
1-2	B-TIM
i.	B-TIM
P.	I-TIM
Aikataulu	O
Postit	O
lähtevät	O
16	B-TIM
päiwästä	I-TIM
touko.	B-TIM
kuuta	I-TIM
1899	B-TIM
toistaiseksi.	O
Joka	O
päiwii:	O
klo	O
itään	O
päin	O
menewästä	O
ju>	O
nassa	O
ja	O
110	O
3,i5	O
i.	O
länteen	O
päin	O
menemässä	O
junassa.	O
Maanantaina	B-TIM
110	I-TIM
10	I-TIM
a.	B-TIM
p.	I-TIM
Stormin	B-LOC_PPL
kautta	O
Sam»	B-LOC_PPL
maljoelle.	I-LOC_PPL
Tiistaina	B-TIM
klo	I-TIM
i.	B-TIM
p.	I-TIM
Stormin	B-LOC_PPL
kautta	O
Kärp	B-LOC_PPL
palaan.	I-LOC_PPL
Tuorstaina:	B-TIM
110	I-TIM
a.	I-TIM
p,	I-TIM
Punkalaitumelle	B-LOC_PPL
