<HEADLINE>	
Oliko	
raha	
avoimuutta	
tärkeämpää	
kun	
SteamOS	pro
:	pro
n	pro
Linuxia	bpro
valittiin	
?	
	
<DATE>	
9.1.2014 13:25	
	
<INGRESS>	
Muun	
muassa	
Half-Lifeista	pro
ja	
Steam-palvelusta	pro
tunnettu	
Valve	org
ilmoitti	
Windows	pro
8:n	pro
julkaisun	
hetkillä	
kääntävänsä	
katseensa	
Linuxiin	pro
.	
	
Pohjalla	
olevan	
Linux-jakelun	pro
valikoituminen	
ei	
ollut	
kuitenkaan	
itsestään	
selvää	
.	
	
<BODY>	
<PARAGRAPH>	
Valven	org
pomo	tit
Gabe	per
Newell	per
on	
osoittanut	
epäluuloa	
Windows	pro
8:aa	pro
kohtaan	
alusta	
asti	
.	
	
Syyksi	
Newell	per
on	
ilmoittanut	
järjestelmän	
sulkeutuneisuuden	
.	
	
<PARAGRAPH>	
Syy	
saattaa	
piillä	
myös	
siinä	
,	
että	
Windows	pro
8	pro
on	
kova	
kilpailija	
Valven	org
tulevaisuudensuunnitelmille	
.	
	
<PARAGRAPH>	
Valven	org
omistama	
latauskauppa	
Steam	pro
takoo	
yhtiölle	
rahaa	
.	
	
Uusia	
asiakkaita	
lähdetään	
etsimään	
julkaisemalla	
oma	
olohuoneen	
peli-	
ja	
viihdekeskus	
Steam	pro
M	pro
achine	pro
,	
jonka	
käyttöjärjestelmänä	
toimii	
Linux	pro
.	
	
<PARAGRAPH>	
Valven	org
lupaus	
tuoda	
Steam	pro
Linuxille	bpro
aiheutti	
positiivista	
hurraahuutoja	
internetissä	
.	
	
Kehityskumppaniksi	
valikoitui	
Linux-maailman	misc
valtias	
,	
eteläafrikkalaisen	
monimiljonääri	tit
Mark	per
Shuttleworthin	per
omistaman	
Canonicalin	org
kehittämä	
Ubuntu	pro
.	
	
<PARAGRAPH>	
Valvella	org
oli	
kuitenkin	
tarkoituksena	
kehittää	
oma	
Linuxiin	pro
pohjautuva	
käyttöjärjestelmä	
,	
SteamOS	pro
.	
	
Kehitystyö	
aloitettiin	
käyttämällä	
pohjalla	
Ubuntua	pro
.	
	
Ennen	
ensimmäisen	
varsinaisen	
beetaversion	
ilmestymistä	
Valve	org
kuitenkin	
ilmoitti	
yllättäen	
,	
että	
SteamOS	pro
perustuu	
Debianiin	pro
,	
samaan	
Linux-jakeluun	pro
,	
johon	
myös	
Ubuntu	pro
perustuu	
.	
	
<PARAGRAPH>	
Päätöstä	
kummeksuttiin	
laajalti	
,	
mutta	
syy	
saattaa	
piillä	
lainsäädännöllisissä	
ongelmissa	
,	
joita	
Valve	org
todennäköisesti	
olisi	
julkaisun	
yhteydessä	
kohdannut	
.	
	
<PARAGRAPH>	
Saksalaisen	
Heise	org
.	org
	org
de-verkkosivuston	org
(	
saksaksi	
)	
mukaan	
Canonical	org
olisi	
todennäköisesti	
halunnut	
palan	
SteamOS	pro
:	pro
n	pro
tuomasta	
rahasta	
,	
eikä	
Valve	org
halunnut	
jakaa	
.	
	
<PARAGRAPH>	
Rahan	
valuminen	
Ubuntusta	pro
muiden	
kuin	
Canonicalin	org
laariin	
tuskin	
sopi	
Shuttleworthille	org
,	
sillä	
Canonicalille	org
Ubuntu	pro
on	
ensisijaisesti	
tuote	
ja	
samalla	
paljon	
muutakin	
kuin	
vain	
yksi	
Linux-jakelu	pro
.	
