<HEADLINE>	
Virgin	org
Atlantic	org
kokeilee	
virtuaalilaseja	
ja	
älykelloja	
asiakaspalvelussa	
	
<DATE>	
11.2.2014 09:26	
	
<INGRESS>	
Innovatiivisuudesta	
tunnettu	
Virgin	org
Atlantic	org
-lentoyhtiö	org
yrittää	
parantaa	
asiakaspalveluaan	
ottamalla	
käyttöön	
Google	pro
Glass	pro
-	pro
virtuaalilasit	pro
ja	
Sonyn	org
SmartWatch	pro
2	pro
-älykellot	pro
.	
	
<BODY>	
<PARAGRAPH>	
Virgin	org
Atlantic	org
käyttää	
uutta	
teknologiaa	
ensin	
Lontoossa	loc
kuusi	
viikkoa	
kestävässä	
kokeilussa	
,	
jossa	
ensimmäisen	
luokan	
matkustajia	
palvellaan	
henkilökohtaisesti	
heti	
,	
kun	
he	
nousevat	
Heathrown	loc
lentokentän	loc
T3-terminaalissa	loc
ilmaisista	
limusiineistaan	
.	
	
<PARAGRAPH>	
Virtuaalilasien	
tai	
älykellojen	
avulla	
henkilökunta	
tietää	
matkustajien	
määränpään	
ja	
aikataulun	
ja	
osaa	
informoida	
heitä	
myös	
matkan	
päässä	
odottavasta	
säästä	
ja	
muista	
olosuhteista	
.	
	
He	
pystyvät	
myös	
kääntämään	
matkaan	
liittyvää	
vieraskielistä	
tekstiä	
.	
	
<PARAGRAPH>	
Tulevaisuudessa	
älylaitteiden	
on	
määrä	
tuntea	
myös	
matkustajien	
ruoka-	
ja	
juomamieltymykset	
,	
The	org
Verge	org
uutisoi	
.	
	
<PARAGRAPH>	
Virgin	org
Atlanticin	org
mukaan	
koeohjelma	
korvaa	
nykyisen	
palvelukonseptin	
.	
	
Jos	
kokeilu	
onnistuu	
,	
virtuaalilaseja	
tai	
älykelloja	
otetaan	
käyttöön	
myös	
muilla	
kentillä	
.	
	
Lentoyhtiö	
ei	
sano	
mitään	
siitä	
,	
että	
henkilökohtainen	
palvelu	
laajennettaisiin	
Upper	misc
Class	misc
-matkustajia	misc
halvemmalla	
lentäville	
.	
	
<PARAGRAPH>	
Lentomatkustamisen	
teknologiaan	
erikoistunut	
SITA	org
on	
rakentanut	
sovellukset	
,	
jotka	
yhdistävät	
älylaitteet	
Virgin	org
Atlanticin	org
matkustajapalvelujärjestelmään	
.	
	
Järjestelmä	
ohjaa	
matkustajien	
vastaanoton	
tehtäviä	
ja	
vie	
matkustajan	
tiedot	
suoraan	
vastaanottajan	
virtuaalilaseihin	
tai	
älykelloon	
.	
