<HEADLINE>	
NSA	org
varasti	
maailman	
sim-korttien	
salausavaimet	
—	
koskee	
myös	
Suomea	loc
	
<DATE>	
20.2.2015 07:38	
	
<INGRESS>	
Maailman	
suurimman	
sim-	
ja	
luottokorttien	
sirujen	
toimittajan	
Gemalton	org
käyttämät	
salausavaimet	
ovat	
Yhdysvaltain	loc
ja	
Britannian	loc
vakoiluorganisaatioiden	
hallussa	
.	
	
Asiasta	
kertoi	
The	org
Intercept	org
.	
	
<BODY>	
<PARAGRAPH>	
Gemalto	org
toimii	
44	
maassa	
ja	
sen	
tuotteet	
ovat	
1,5	
miljardin	
ihmisen	
käytössä	
.	
	
Se	
toimittaa	
noin	
kaksi	
miljardia	
sim-korttia	
vuodessa	
450	
matkapuhelinoperaattorille	
,	
niin	
Yhdysvaltain	loc
suurimmille	
kuin	
suomalaisillekin	
operaattoreille	
.	
	
<PARAGRAPH>	
Gemalton	org
salausavainten	
kaappaaminen	
paljastui	
tietovuotaja	
Edward	per
Snowdenin	per
viemistä	
tiedostoista	
,	
jotka	
The	org
Intercept	org
julkaisi	
laajan	
artikkelin	
yhteydessä	
.	
	
<PARAGRAPH>	
Snowdenin	per
vuotamista	
top	
secret	
-asiakirjoista	
selviää	
,	
että	
Yhdysvaltain	loc
NSA	borg
:	org
n	org
ja	
Britannian	loc
GCHQ:n	borg
työntekijöistä	
koostuva	
,	
aikaisemmin	
tuntematon	
yksikkö	
murtautui	
Gemalton	org
sisäisiin	
verkkoihin	
ja	
varasti	
salausavaimet	
,	
joilla	
matkapuhelinten	
sim-korttien	
käyttäjien	
ja	
operaattorien	
verkkojen	
välistä	
viestintää	
suojataan	
.	
	
<PARAGRAPH>	
Monissa	
maissa	
tiedustelu-	
ja	
poliisiorganisaatiot	
voivat	
oikeuden	
päätöksellä	
salakuunnella	
puheluita	
,	
mutta	
salausavainten	
avulla	
ne	
pääsevät	
kuuntelemaan	
ja	
lukemaan	
viestejä	
salassa	
,	
jälkiä	
jättämättä	
.	
	
<PARAGRAPH>	
Gemalto	org
ei	
ollut	
tietoinen	
siitä	
,	
että	
vakoiluorganisaatiot	
olivat	
vieneet	
tiedot	
,	
joiden	
luottamuksellisuuteen	
koko	
sen	
toiminta	
perustuu	
.	
	
<PARAGRAPH>	
Vakoiluorganisaatiot	
keräsivät	
vuodesta	
2010	
lähtien	
salausavaimia	
.	
	
Ne	
myös	
kehittivät	
automatisoidun	
järjestelmän	
,	
jolla	
“tiedonkorjuu”	
sujui	
manuaalista	
käsittelyä	
tehokkaammin	
.	
	
Tämä	
selviää	
yhdestä	
The	org
Interceptin	org
julkaisemasta	
24-sivuisesta	
,	
27.	
huhtikuuta	
2010	
päivätystä	
asiakirjasta	
.	
	
<PARAGRAPH>	
The	org
Interceptin	org
tänään	
perjantaina	
julkaisemasta	
artikkelista	
löytyy	
yhteenvetouutinen	
muun	
muassa	
ZDNetistä	org
.	
