<HEADLINE>	
Teslan	org
Muskin	per
jobsmaisuus	
imee	
kykyjä	
Applelta	org
	
<DATE>	
6.2.2015 11:08	
	
<INGRESS>	
Tesla	org
on	
ryövännyt	
ainakin	
150	
työntekijää	
Applelta	org
,	
mutta	
Apple	org
ei	
yrityksistä	
huolimatta	
ole	
juurikaan	
onnistunut	
palkkaamaan	
ihmisiä	
sähköautovalmistajalta	
.	
	
<BODY>	
<PARAGRAPH>	
Bloombergin	org
artikkelin	
mukaan	
Teslan	org
perustajan	tit
ja	
toimitusjohtajan	tit
Elon	per
Muskin	per
henkilökohtainen	
karisma	
ja	
se	
,	
että	
hän	
muistuttaa	
Applen	org
entistä	
johtajaa	tit
Steve	per
Jobsia	per
,	
on	
auttanut	
nappaamaan	
osaajia	
Applelta	org
.	
	
<PARAGRAPH>	
Muskin	per
itsensä	
sanotaan	
fanittavan	
Applea	org
.	
	
Hän	
on	
sanonut	
,	
että	
muotoilufilosofian	
suhteen	
Apple	org
ja	
Tesla	org
ovat	
lähellä	
toisiaan	
.	
	
<PARAGRAPH>	
Musk	per
on	
samalla	
tavalla	
temperamenttinen	
kuin	
Jobs	per
oli	
ja	
hän	
kiinnittää	
paljon	
huomiota	
tuotteiden	
yksityiskohtiin	
.	
	
Häntä	
pidetään	
myös	
vahvana	
,	
karismaattisena	
johtajana	
ja	
hänen	
sanotaan	
pitävän	
siitä	
,	
että	
häntä	
verrataan	
Jobsiin	per
.	
	
<PARAGRAPH>	
Tunnetuimpia	
entisiä	
applelaisia	
on	
Doug	per
Field	per
,	
joka	
vastasi	
Macin	pro
laitesuunnittelusta	
ja	
nyt	
johtaa	
uusien	
autojen	
kehitystä	
Teslalla	org
.	
	
<PARAGRAPH>	
Applen	org
vaikutus	
näkyy	
muun	
muassa	
Teslan	org
S-mallin	pro
17-tuumaisessa	
näytössä	
ja	
Teslan	org
kaupoissa	
,	
joiden	
suunnittelun	
takana	
on	
George	per
Blankenship	per
,	
joka	
aikaisemmin	
loi	
Apple	pro
Storet	pro
.	
	
<PARAGRAPH>	
Muskin	per
mukaan	
Apple	org
on	
kyllä	
yrittänyt	
palkata	
työntekijöitä	
Teslalta	org
,	
mutta	
250	
000	
dollarin	
palkkausbonuksesta	
ja	
60	
prosenttia	
korkeammasta	
palkkatarjouksesta	
huolimatta	
se	
on	
onnistunut	
rekrytoimaan	
hyvin	
harvoja	
ihmisiä	
.	
	
<PARAGRAPH>	
Tesla	org
,	
jolla	
on	
6	
000	
työntekijää	
,	
on	
rekrytoinut	
enemmän	
Applelta	org
kuin	
perinteisiltä	
autovalmistajilta	
.	
