<HEADLINE>	
Oculus	pro
Riftin	pro
haastaja	
kiskaisi	
Kickstarter-rahoituksen	misc
hetkessä	
	
<DATE>	
24.1.2014 15:18	
	
<INGRESS>	
Siihen	
meni	
seitsemän	
tuntia	
.	
	
Uusi	
virtuaalisilmikko	
keräsi	
250	
000	
dollaria	
,	
mutta	
mahtuuko	
se	
markkinoille	
?	
	
<BODY>	
<PARAGRAPH>	
Oculus	pro
Rift	pro
on	
saamassa	
ensimmäisen	
varteenotettavan	
kilpailijan	
,	
kun	
Avegant	pro
Glyph	pro
keräsi	
250	
000	
dollarin	
Kickstarter-tavoitteensa	misc
alle	
seitsemässä	
tunnissa	
.	
	
<PARAGRAPH>	
Oculus	pro
Rift	pro
on	
ollut	
viime	
aikoina	
otsikoissa	
,	
kun	
teknologiaguru	tut
John	per
Carmack	per
jätti	
paikkansa	
iD	org
Softwarella	org
ja	
keskittyy	
ainoastaan	
Oculus	pro
Riftin	pro
kuluttajamallin	
saamiseen	
valmiiksi	
.	
	
Sitä	
varten	
yhtiö	
on	
vastikään	
nostanut	
75	
miljoonan	
dollarin	
rahoituserän	
.	
	
<PARAGRAPH>	
Aivan	
rauhassa	
Oculus	pro
ei	
pääse	
keräämään	
huomiota	
.	
	
Tuore	
kilpailija	
Avegant	pro
G	pro
lyph	pro
sai	
paljon	
kiitosta	
vuodenvaihteen	
CES-messuilla	event
.	
	
Kyse	
ei	
ole	
kuitenkaan	
suorasta	
kloonista	
,	
vaan	
pohjalla	
on	
hyvin	
erilaista	
teknologiaa	
.	
	
Siinä	
missä	
Oculus	pro
käyttää	
lcd-paneeleita	
,	
on	
Glyphissä	pro
pari	
miljoonaa	
mikropeiliä	
,	
jollaisia	
on	
tätä	
ennen	
nähty	
lähinnä	
dlp-videotykeissä	
.	
	
<PARAGRAPH>	
Glyph	pro
näyttää	
selvästi	
Oculusta	pro
kevyemmältä	
ja	
design	
houkuttelevammalta	
,	
tosin	
kukaan	
ei	
vielä	
tiedä	
miltä	
Oculuksen	pro
kuluttajamalli	
näyttää	
.	
	
Glyphiä	pro
markkinoidaan	
selvästi	
enemmän	
taviksille	
ja	
muuta	
viihdettä	
kuin	
pelejä	
varten	
.	
	
<PARAGRAPH>	
Mahtaakohan	
markkinoilla	
olla	
tilaa	
kahdelle	
näin	
samanlaiselle	
laitteelle	
,	
vai	
käykö	
kuten	
virtuaalikypärille	
90-luvulla	
?	
