<HEADLINE>	
Näin	
suomi	loc
googlasi	
vappuna	
—	
vainajia	
ja	
vipukirveitä	
	
<DATE>	
2.5.2014 14:50	
	
<INGRESS>	
Vappuna	
haetuimpien	
termien	
listalla	
oli	
pari	
yllätystä	
.	
	
<BODY>	
<PARAGRAPH>	
Googlen	org
Suomen-trendinäkymä	misc
paljastaa	
,	
mitkä	
asiat	
kiinnostivat	
suomalaisia	
vappuna	
.	
	
Näkymä	
esittää	
normihauista	
poikkeavia	
termejä	
,	
joita	
ei	
joka	
päivä	
esiinny	
.	
	
<PARAGRAPH>	
Vapunaatolta	
Google	org
antaa	
seitsemän	
suositun	
haun	
listan	
:	
	
<PARAGRAPH>	
1	
\	
.	
	
Vappu	
2	
\	
.	
	
Vappu	
2014	
3	
\	
.	
	
Bob	per
Hoskins	per
4	
\	
.	
	
Donald	per
Sterling	per
5	
\	
.	
	
Vipukirves	pro
6	
\	
.	
	
S-market	org
7	
\	
.	
	
Real	org
Madrid	org
	
<PARAGRAPH>	
Kaksi	
ensimmäistä	
ovat	
melko	
itsestäänselviä	
.	
	
Näyttelijä	
Bob	per
Hoskinsin	per
kuolema	
selittää	
kolmosen	
ja	
uutisointi	
NBA-koripallojoukkueen	misc
omistaja	tit
Donald	per
Sterlingin	per
elinikäisestä	
toimitsijakiellosta	
selittää	
nelosen	
.	
	
<PARAGRAPH>	
Vipukirves	pro
on	
erikoisempi	
hitti	
,	
joka	
selittyy	
kansainvälisellä	
huomiolla	
.	
	
Suomalaisen	
Heikki	per
Kärnän	per
kirveen	
esittelyvideosta	
muodostui	
Youtube-hitti	misc
yli	
3	
miljoonalla	
katselulla	
,	
ja	
vimpain	
alkoi	
kiinnostaa	
ihmisiä	
.	
	
<PARAGRAPH>	
Vapunpäivänä	
Google	org
kertoo	
kahden	
termin	
nousseen	
yli	
muiden	
:	
pizza	
onlinen	
sekä	
Ayrton	per
Sennan	per
.	
	
Jälkimmäinen	
selittyy	
miehen	
kuoleman	
20-vuotispäivällä	
.	
	
Edellinen	
puolestaan	
kertonee	
suomalaisten	
vapunjälkeisistä	
tarpeista	
.	
